address_name,category_group_code,category_group_name,category_name,distance,id,phone,place_name,place_url,road_address_name,x,y
서울 종로구 종로2가 84-14,CE7,카페,음식점 > 카페 > 커피전문점 > 스타벅스,,8405079,1522-3232,스타벅스 종각점,http://place.map.kakao.com/8405079,서울 종로구 종로 64,126.984569205394,37.5700056389639
서울 종로구 종로1가 17,CE7,카페,음식점 > 카페 > 커피전문점 > 스타벅스,,27030449,1522-3232,스타벅스 광화문D타워점,http://place.map.kakao.com/27030449,서울 종로구 종로3길 17,126.97906325312978,37.570466100534176
서울 종로구 관수동 3-5,CE7,카페,음식점 > 카페 > 커피전문점 > 스타벅스,,18691076,1522-3232,스타벅스 종로관수점,http://place.map.kakao.com/18691076,서울 종로구 삼일대로20길 13,126.988675971996,37.5697538255943
서울 종로구 관철동 12-15,CE7,카페,음식점 > 카페 > 커피전문점 > 스타벅스,,12700362,1522-3232,스타벅스 종로관철점,http://place.map.kakao.com/12700362,서울 종로구 종로12길 21,126.986000167007,37.5690868019367
서울 종로구 중학동 14,CE7,카페,음식점 > 카페 > 커피전문점 > 스타벅스,,14870809,1522-3232,스타벅스 경복궁사거리점,http://place.map.kakao.com/14870809,서울 종로구 율곡로 6,126.98026291268783,37.57558485945881
서울 종로구 신문로1가 163,CE7,카페,음식점 > 카페 > 커피전문점 > 스타벅스,,25115115,1522-3232,스타벅스 새문안로점,http://place.map.kakao.com/25115115,서울 종로구 새문안로 92,126.97517406163408,37.56978599622706
서울 종로구 청진동 19,CE7,카페,음식점 > 카페 > 커피전문점 > 스타벅스,,26330427,1522-3232,스타벅스 종로수송점,http://place.map.kakao.com/26330427,서울 종로구 종로5길 30,126.98070202541096,37.57165569350996
서울 종로구 수송동 156,CE7,카페,음식점 > 카페 > 커피전문점 > 스타벅스,,27597194,1522-3232,스타벅스 종로구청점,http://place.map.kakao.com/27597194,서울 종로구 삼봉로 71,126.9809655499042,37.57254591943661
서울 종로구 수송동 146-1,CE7,카페,음식점 > 카페 > 커피전문점 > 스타벅스,,13582632,1522-3232,스타벅스 이마빌딩점,http://place.map.kakao.com/13582632,서울 종로구 종로1길 42,126.9789615295702,37.573946626388214
서울 종로구 종로1가 89-3,CE7,카페,음식점 > 카페 > 커피전문점 > 스타벅스,,312821024,1522-3232,스타벅스 광화문우체국점,http://place.map.kakao.com/312821024,서울 종로구 종로 6,126.978058216854,37.5699721725557
